1975: T1_OFF_SHIELD                                                    : T1.0 Shield
4015: T7_ARMOR_LEATHER_SET2@1                                          : T7.1 Hunter Jacket
4016: T7_ARMOR_LEATHER_SET2@2                                          : T7.2 Hunter Jacket
4017: T7_ARMOR_LEATHER_SET2@3                                          : T7.3 Hunter Jacket
4018: T7_ARMOR_LEATHER_SET2@4                                          : T7.4 Hunter Jacket
4019: T8_ARMOR_LEATHER_SET2                                            : T8.0 Hunter Jacket
4020: T8_ARMOR_LEATHER_SET2@1                                          : T8.1 Hunter Jacket
4021: T8_ARMOR_LEATHER_SET2@2                                          : T8.2 Hunter Jacket
4022: T8_ARMOR_LEATHER_SET2@3                                          : T8.3 Hunter Jacket
4023: T8_ARMOR_LEATHER_SET2@4                                          : T8.4 Hunter Jacket
4024: T4_SHOES_LEATHER_SET2                                            : T4.0 Hunter Shoes
4025: T4_SHOES_LEATHER_SET2@1                                          : T4.1 Hunter Shoes
4026: T4_SHOES_LEATHER_SET2@2                                          : T4.2 Hunter Shoes
4027: T4_SHOES_LEATHER_SET2@3                                          : T4.3 Hunter Shoes
4028: T4_SHOES_LEATHER_SET2@4                                          : T4.4 Hunter Shoes
4029: T5_SHOES_LEATHER_SET2                                            : T5.0 Hunter Shoes
4030: T5_SHOES_LEATHER_SET2@1                                          : T5.1 Hunter Shoes
4031: T5_SHOES_LEATHER_SET2@2                                          : T5.2 Hunter Shoes
4032: T5_SHOES_LEATHER_SET2@3                                          : T5.3 Hunter Shoes
4033: T5_SHOES_LEATHER_SET2@4                                          : T5.4 Hunter Shoes
4034: T6_SHOES_LEATHER_SET2                                            : T6.0 Hunter Shoes
4035: T6_SHOES_LEATHER_SET2@1                                          : T6.1 Hunter Shoes
4036: T6_SHOES_LEATHER_SET2@2                                          : T6.2 Hunter Shoes
4037: T6_SHOES_LEATHER_SET2@3                                          : T6.3 Hunter Shoes
4038: T6_SHOES_LEATHER_SET2@4                                          : T6.4 Hunter Shoes
4039: T7_SHOES_LEATHER_SET2                                            : T7.0 Hunter Shoes
4040: T7_SHOES_LEATHER_SET2@1                                          : T7.1 Hunter Shoes
4041: T7_SHOES_LEATHER_SET2@2                                          : T7.2 Hunter Shoes
4042: T7_SHOES_LEATHER_SET2@3                                          : T7.3 Hunter Shoes
4043: T7_SHOES_LEATHER_SET2@4                                          : T7.4 Hunter Shoes
4044: T8_SHOES_LEATHER_SET2                                            : T8.0 Hunter Shoes
4045: T8_SHOES_LEATHER_SET2@1                                          : T8.1 Hunter Shoes
4046: T8_SHOES_LEATHER_SET2@2                                          : T8.2 Hunter Shoes
4047: T8_SHOES_LEATHER_SET2@3                                          : T8.3 Hunter Shoes
4048: T8_SHOES_LEATHER_SET2@4                                          : T8.4 Hunter Shoes
4049: T4_HEAD_LEATHER_SET3                                             : T4.0 Assassin Hood
4050: T4_HEAD_LEATHER_SET3@1                                           : T4.1 Assassin Hood
4051: T4_HEAD_LEATHER_SET3@2                                           : T4.2 Assassin Hood
4052: T4_HEAD_LEATHER_SET3@3                                           : T4.3 Assassin Hood
4053: T4_HEAD_LEATHER_SET3@4                                           : T4.4 Assassin Hood
4054: T5_HEAD_LEATHER_SET3                                             : T5.0 Assassin Hood
4055: T5_HEAD_LEATHER_SET3@1                                           : T5.1 Assassin Hood
4056: T5_HEAD_LEATHER_SET3@2                                           : T5.2 Assassin Hood
4057: T5_HEAD_LEATHER_SET3@3                                           : T5.3 Assassin Hood
4058: T5_HEAD_LEATHER_SET3@4                                           : T5.4 Assassin Hood
4059: T6_HEAD_LEATHER_SET3                                             : T6.0 Assassin Hood
4060: T6_HEAD_LEATHER_SET3@1                                           : T6.1 Assassin Hood
4061: T6_HEAD_LEATHER_SET3@2                                           : T6.2 Assassin Hood
4062: T6_HEAD_LEATHER_SET3@3                                           : T6.3 Assassin Hood
4063: T6_HEAD_LEATHER_SET3@4                                           : T6.4 Assassin Hood
4064: T7_HEAD_LEATHER_SET3                                             : T7.0 Assassin Hood
4065: T7_HEAD_LEATHER_SET3@1                                           : T7.1 Assassin Hood
4066: T7_HEAD_LEATHER_SET3@2                                           : T7.2 Assassin Hood
4067: T7_HEAD_LEATHER_SET3@3                                           : T7.3 Assassin Hood
4068: T7_HEAD_LEATHER_SET3@4                                           : T7.4 Assassin Hood
4069: T8_HEAD_LEATHER_SET3                                             : T8.0 Assassin Hood
4070: T8_HEAD_LEATHER_SET3@1                                           : T8.1 Assassin Hood
4071: T8_HEAD_LEATHER_SET3@2                                           : T8.2 Assassin Hood
4072: T8_HEAD_LEATHER_SET3@3                                           : T8.3 Assassin Hood
4073: T8_HEAD_LEATHER_SET3@4                                           : T8.4 Assassin Hood
4074: T4_ARMOR_LEATHER_SET3                                            : T4.0 Assassin Jacket
4075: T4_ARMOR_LEATHER_SET3@1                                          : T4.1 Assassin Jacket
4076: T4_ARMOR_LEATHER_SET3@2                                          : T4.2 Assassin Jacket
4077: T4_ARMOR_LEATHER_SET3@3                                          : T4.3 Assassin Jacket
4078: T4_ARMOR_LEATHER_SET3@4                                          : T4.4 Assassin Jacket
4079: T5_ARMOR_LEATHER_SET3                                            : T5.0 Assassin Jacket
4080: T5_ARMOR_LEATHER_SET3@1                                          : T5.1 Assassin Jacket
4081: T5_ARMOR_LEATHER_SET3@2                                          : T5.2 Assassin Jacket
4082: T5_ARMOR_LEATHER_SET3@3                                          : T5.3 Assassin Jacket
4083: T5_ARMOR_LEATHER_SET3@4                                          : T5.4 Assassin Jacket
4084: T6_ARMOR_LEATHER_SET3                                            : T6.0 Assassin Jacket
4085: T6_ARMOR_LEATHER_SET3@1                                          : T6.1 Assassin Jacket
4086: T6_ARMOR_LEATHER_SET3@2                                          : T6.2 Assassin Jacket
4087: T6_ARMOR_LEATHER_SET3@3                                          : T6.3 Assassin Jacket
4088: T6_ARMOR_LEATHER_SET3@4                                          : T6.4 Assassin Jacket
4089: T7_ARMOR_LEATHER_SET3                                            : T7.0 Assassin Jacket
4090: T7_ARMOR_LEATHER_SET3@1                                          : T7.1 Assassin Jacket
4091: T7_ARMOR_LEATHER_SET3@2                                          : T7.2 Assassin Jacket
4092: T7_ARMOR_LEATHER_SET3@3                                          : T7.3 Assassin Jacket
4093: T7_ARMOR_LEATHER_SET3@4                                          : T7.4 Assassin Jacket
4094: T8_ARMOR_LEATHER_SET3                                            : T8.0 Assassin Jacket
4095: T8_ARMOR_LEATHER_SET3@1                                          : T8.1 Assassin Jacket
4096: T8_ARMOR_LEATHER_SET3@2                                          : T8.2 Assassin Jacket
4097: T8_ARMOR_LEATHER_SET3@3                                          : T8.3 Assassin Jacket
4098: T8_ARMOR_LEATHER_SET3@4                                          : T8.4 Assassin Jacket
4099: T4_SHOES_LEATHER_SET3                                            : T4.0 Assassin Shoes
4100: T4_SHOES_LEATHER_SET3@1                                          : T4.1 Assassin Shoes
4101: T4_SHOES_LEATHER_SET3@2                                          : T4.2 Assassin Shoes
4102: T4_SHOES_LEATHER_SET3@3                                          : T4.3 Assassin Shoes
4103: T4_SHOES_LEATHER_SET3@4                                          : T4.4 Assassin Shoes
4104: T5_SHOES_LEATHER_SET3                                            : T5.0 Assassin Shoes
4105: T5_SHOES_LEATHER_SET3@1                                          : T5.1 Assassin Shoes
4106: T5_SHOES_LEATHER_SET3@2                                          : T5.2 Assassin Shoes
4107: T5_SHOES_LEATHER_SET3@3                                          : T5.3 Assassin Shoes
4108: T5_SHOES_LEATHER_SET3@4                                          : T5.4 Assassin Shoes
4109: T6_SHOES_LEATHER_SET3                                            : T6.0 Assassin Shoes
4110: T6_SHOES_LEATHER_SET3@1                                          : T6.1 Assassin Shoes
4111: T6_SHOES_LEATHER_SET3@2                                          : T6.2 Assassin Shoes
4112: T6_SHOES_LEATHER_SET3@3                                          : T6.3 Assassin Shoes
4113: T6_SHOES_LEATHER_SET3@4                                          : T6.4 Assassin Shoes
4114: T7_SHOES_LEATHER_SET3                                            : T7.0 Assassin Shoes
4115: T7_SHOES_LEATHER_SET3@1                                          : T7.1 Assassin Shoes
4116: T7_SHOES_LEATHER_SET3@2                                          : T7.2 Assassin Shoes
4117: T7_SHOES_LEATHER_SET3@3                                          : T7.3 Assassin Shoes
4118: T7_SHOES_LEATHER_SET3@4                                          : T7.4 Assassin Shoes
4119: T8_SHOES_LEATHER_SET3                                            : T8.0 Assassin Shoes
4120: T8_SHOES_LEATHER_SET3@1                                          : T8.1 Assassin Shoes
4121: T8_SHOES_LEATHER_SET3@2                                          : T8.2 Assassin Shoes
4122: T8_SHOES_LEATHER_SET3@3                                          : T8.3 Assassin Shoes
4123: T8_SHOES_LEATHER_SET3@4                                          : T8.4 Assassin Shoes
4124: T4_HEAD_LEATHER_MORGANA                                          : T4.0 Stalker Hood
4125: T4_HEAD_LEATHER_MORGANA@1                                        : T4.1 Stalker Hood
4126: T4_HEAD_LEATHER_MORGANA@2                                        : T4.2 Stalker Hood
4127: T4_HEAD_LEATHER_MORGANA@3                                        : T4.3 Stalker Hood
4128: T4_HEAD_LEATHER_MORGANA@4                                        : T4.4 Stalker Hood
4129: T5_HEAD_LEATHER_MORGANA                                          : T5.0 Stalker Hood
4130: T5_HEAD_LEATHER_MORGANA@1                                        : T5.1 Stalker Hood
4131: T5_HEAD_LEATHER_MORGANA@2                                        : T5.2 Stalker Hood
4132: T5_HEAD_LEATHER_MORGANA@3                                        : T5.3 Stalker Hood
4133: T5_HEAD_LEATHER_MORGANA@4                                        : T5.4 Stalker Hood
4134: T6_HEAD_LEATHER_MORGANA                                          : T6.0 Stalker Hood
4135: T6_HEAD_LEATHER_MORGANA@1                                        : T6.1 Stalker Hood
4136: T6_HEAD_LEATHER_MORGANA@2                                        : T6.2 Stalker Hood
4137: T6_HEAD_LEATHER_MORGANA@3                                        : T6.3 Stalker Hood
4138: T6_HEAD_LEATHER_MORGANA@4                                        : T6.4 Stalker Hood
4139: T7_HEAD_LEATHER_MORGANA                                          : T7.0 Stalker Hood
4140: T7_HEAD_LEATHER_MORGANA@1                                        : T7.1 Stalker Hood
4141: T7_HEAD_LEATHER_MORGANA@2                                        : T7.2 Stalker Hood
4142: T7_HEAD_LEATHER_MORGANA@3                                        : T7.3 Stalker Hood
4143: T7_HEAD_LEATHER_MORGANA@4                                        : T7.4 Stalker Hood
4144: T8_HEAD_LEATHER_MORGANA                                          : T8.0 Stalker Hood
4145: T8_HEAD_LEATHER_MORGANA@1                                        : T8.1 Stalker Hood
4146: T8_HEAD_LEATHER_MORGANA@2                                        : T8.2 Stalker Hood
4147: T8_HEAD_LEATHER_MORGANA@3                                        : T8.3 Stalker Hood
4148: T8_HEAD_LEATHER_MORGANA@4                                        : T8.4 Stalker Hood
4149: T4_ARMOR_LEATHER_MORGANA                                         : T4.0 Stalker Jacket
4150: T4_ARMOR_LEATHER_MORGANA@1                                       : T4.1 Stalker Jacket
4151: T4_ARMOR_LEATHER_MORGANA@2                                       : T4.2 Stalker Jacket
4152: T4_ARMOR_LEATHER_MORGANA@3                                       : T4.3 Stalker Jacket
4153: T4_ARMOR_LEATHER_MORGANA@4                                       : T4.4 Stalker Jacket
4154: T5_ARMOR_LEATHER_MORGANA                                         : T5.0 Stalker Jacket
4155: T5_ARMOR_LEATHER_MORGANA@1                                       : T5.1 Stalker Jacket
4156: T5_ARMOR_LEATHER_MORGANA@2                                       : T5.2 Stalker Jacket
4157: T5_ARMOR_LEATHER_MORGANA@3                                       : T5.3 Stalker Jacket
4158: T5_ARMOR_LEATHER_MORGANA@4                                       : T5.4 Stalker Jacket
4159: T6_ARMOR_LEATHER_MORGANA                                         : T6.0 Stalker Jacket
4160: T6_ARMOR_LEATHER_MORGANA@1                                       : T6.1 Stalker Jacket
4161: T6_ARMOR_LEATHER_MORGANA@2                                       : T6.2 Stalker Jacket
4162: T6_ARMOR_LEATHER_MORGANA@3                                       : T6.3 Stalker Jacket
4163: T6_ARMOR_LEATHER_MORGANA@4                                       : T6.4 Stalker Jacket
4164: T7_ARMOR_LEATHER_MORGANA                                         : T7.0 Stalker Jacket
4165: T7_ARMOR_LEATHER_MORGANA@1                                       : T7.1 Stalker Jacket
4166: T7_ARMOR_LEATHER_MORGANA@2                                       : T7.2 Stalker Jacket
4167: T7_ARMOR_LEATHER_MORGANA@3                                       : T7.3 Stalker Jacket
4168: T7_ARMOR_LEATHER_MORGANA@4                                       : T7.4 Stalker Jacket
4169: T8_ARMOR_LEATHER_MORGANA                                         : T8.0 Stalker Jacket
4170: T8_ARMOR_LEATHER_MORGANA@1                                       : T8.1 Stalker Jacket
4171: T8_ARMOR_LEATHER_MORGANA@2                                       : T8.2 Stalker Jacket
4172: T8_ARMOR_LEATHER_MORGANA@3                                       : T8.3 Stalker Jacket
4173: T8_ARMOR_LEATHER_MORGANA@4                                       : T8.4 Stalker Jacket
4174: T4_SHOES_LEATHER_MORGANA                                         : T4.0 Stalker Shoes
4175: T4_SHOES_LEATHER_MORGANA@1                                       : T4.1 Stalker Shoes
4176: T4_SHOES_LEATHER_MORGANA@2                                       : T4.2 Stalker Shoes
4177: T4_SHOES_LEATHER_MORGANA@3                                       : T4.3 Stalker Shoes
4178: T4_SHOES_LEATHER_MORGANA@4                                       : T4.4 Stalker Shoes
4179: T5_SHOES_LEATHER_MORGANA                                         : T5.0 Stalker Shoes
4180: T5_SHOES_LEATHER_MORGANA@1                                       : T5.1 Stalker Shoes
4181: T5_SHOES_LEATHER_MORGANA@2                                       : T5.2 Stalker Shoes
4182: T5_SHOES_LEATHER_MORGANA@3                                       : T5.3 Stalker Shoes
4183: T5_SHOES_LEATHER_MORGANA@4                                       : T5.4 Stalker Shoes
4184: T6_SHOES_LEATHER_MORGANA                                         : T6.0 Stalker Shoes
4185: T6_SHOES_LEATHER_MORGANA@1                                       : T6.1 Stalker Shoes
4186: T6_SHOES_LEATHER_MORGANA@2                                       : T6.2 Stalker Shoes
4187: T6_SHOES_LEATHER_MORGANA@3                                       : T6.3 Stalker Shoes
4188: T6_SHOES_LEATHER_MORGANA@4                                       : T6.4 Stalker Shoes
4189: T7_SHOES_LEATHER_MORGANA                                         : T7.0 Stalker Shoes
4190: T7_SHOES_LEATHER_MORGANA@1                                       : T7.1 Stalker Shoes
4191: T7_SHOES_LEATHER_MORGANA@2                                       : T7.2 Stalker Shoes
4192: T7_SHOES_LEATHER_MORGANA@3                                       : T7.3 Stalker Shoes
4193: T7_SHOES_LEATHER_MORGANA@4                                       : T7.4 Stalker Shoes
4194: T8_SHOES_LEATHER_MORGANA                                         : T8.0 Stalker Shoes
4195: T8_SHOES_LEATHER_MORGANA@1                                       : T8.1 Stalker Shoes
4196: T8_SHOES_LEATHER_MORGANA@2                                       : T8.2 Stalker Shoes
4197: T8_SHOES_LEATHER_MORGANA@3                                       : T8.3 Stalker Shoes
4198: T8_SHOES_LEATHER_MORGANA@4                                       : T8.4 Stalker Shoes
4199: T4_HEAD_LEATHER_HELL                                             : T4.0 Hellion Hood
4200: T4_HEAD_LEATHER_HELL@1                                           : T4.1 Hellion Hood
4201: T4_HEAD_LEATHER_HELL@2                                           : T4.2 Hellion Hood
4202: T4_HEAD_LEATHER_HELL@3                                           : T4.3 Hellion Hood
4203: T4_HEAD_LEATHER_HELL@4                                           : T4.4 Hellion Hood
4204: T5_HEAD_LEATHER_HELL                                             : T5.0 Hellion Hood
4205: T5_HEAD_LEATHER_HELL@1                                           : T5.1 Hellion Hood
4206: T5_HEAD_LEATHER_HELL@2                                           : T5.2 Hellion Hood
4207: T5_HEAD_LEATHER_HELL@3                                           : T5.3 Hellion Hood
4208: T5_HEAD_LEATHER_HELL@4                                           : T5.4 Hellion Hood
4209: T6_HEAD_LEATHER_HELL                                             : T6.0 Hellion Hood
4210: T6_HEAD_LEATHER_HELL@1                                           : T6.1 Hellion Hood
4211: T6_HEAD_LEATHER_HELL@2                                           : T6.2 Hellion Hood
4212: T6_HEAD_LEATHER_HELL@3                                           : T6.3 Hellion Hood
4213: T6_HEAD_LEATHER_HELL@4                                           : T6.4 Hellion Hood
4214: T7_HEAD_LEATHER_HELL                                             : T7.0 Hellion Hood
4215: T7_HEAD_LEATHER_HELL@1                                           : T7.1 Hellion Hood
4216: T7_HEAD_LEATHER_HELL@2                                           : T7.2 Hellion Hood
4217: T7_HEAD_LEATHER_HELL@3                                           : T7.3 Hellion Hood
4218: T7_HEAD_LEATHER_HELL@4                                           : T7.4 Hellion Hood
4219: T8_HEAD_LEATHER_HELL                                             : T8.0 Hellion Hood
4220: T8_HEAD_LEATHER_HELL@1                                           : T8.1 Hellion Hood
4221: T8_HEAD_LEATHER_HELL@2                                           : T8.2 Hellion Hood
4222: T8_HEAD_LEATHER_HELL@3                                           : T8.3 Hellion Hood
4223: T8_HEAD_LEATHER_HELL@4                                           : T8.4 Hellion Hood
4224: T4_ARMOR_LEATHER_HELL                                            : T4.0 Hellion Jacket
4225: T4_ARMOR_LEATHER_HELL@1                                          : T4.1 Hellion Jacket
4226: T4_ARMOR_LEATHER_HELL@2                                          : T4.2 Hellion Jacket
4227: T4_ARMOR_LEATHER_HELL@3                                          : T4.3 Hellion Jacket
4228: T4_ARMOR_LEATHER_HELL@4                                          : T4.4 Hellion Jacket
4229: T5_ARMOR_LEATHER_HELL                                            : T5.0 Hellion Jacket
4230: T5_ARMOR_LEATHER_HELL@1                                          : T5.1 Hellion Jacket
4231: T5_ARMOR_LEATHER_HELL@2                                          : T5.2 Hellion Jacket
4232: T5_ARMOR_LEATHER_HELL@3                                          : T5.3 Hellion Jacket
4233: T5_ARMOR_LEATHER_HELL@4                                          : T5.4 Hellion Jacket
4234: T6_ARMOR_LEATHER_HELL                                            : T6.0 Hellion Jacket
4235: T6_ARMOR_LEATHER_HELL@1                                          : T6.1 Hellion Jacket
4236: T6_ARMOR_LEATHER_HELL@2                                          : T6.2 Hellion Jacket
4237: T6_ARMOR_LEATHER_HELL@3                                          : T6.3 Hellion Jacket
4238: T6_ARMOR_LEATHER_HELL@4                                          : T6.4 Hellion Jacket
4239: T7_ARMOR_LEATHER_HELL                                            : T7.0 Hellion Jacket
4240: T7_ARMOR_LEATHER_HELL@1                                          : T7.1 Hellion Jacket
4241: T7_ARMOR_LEATHER_HELL@2                                          : T7.2 Hellion Jacket
4242: T7_ARMOR_LEATHER_HELL@3                                          : T7.3 Hellion Jacket
4243: T7_ARMOR_LEATHER_HELL@4                                          : T7.4 Hellion Jacket
4244: T8_ARMOR_LEATHER_HELL                                            : T8.0 Hellion Jacket
4245: T8_ARMOR_LEATHER_HELL@1                                          : T8.1 Hellion Jacket
4246: T8_ARMOR_LEATHER_HELL@2                                          : T8.2 Hellion Jacket
4247: T8_ARMOR_LEATHER_HELL@3                                          : T8.3 Hellion Jacket
4248: T8_ARMOR_LEATHER_HELL@4                                          : T8.4 Hellion Jacket
4249: T4_SHOES_LEATHER_HELL                                            : T4.0 Hellion Shoes
4250: T4_SHOES_LEATHER_HELL@1                                          : T4.1 Hellion Shoes
4251: T4_SHOES_LEATHER_HELL@2                                          : T4.2 Hellion Shoes
4252: T4_SHOES_LEATHER_HELL@3                                          : T4.3 Hellion Shoes
4253: T4_SHOES_LEATHER_HELL@4                                          : T4.4 Hellion Shoes
4254: T5_SHOES_LEATHER_HELL                                            : T5.0 Hellion Shoes
4255: T5_SHOES_LEATHER_HELL@1                                          : T5.1 Hellion Shoes
4256: T5_SHOES_LEATHER_HELL@2                                          : T5.2 Hellion Shoes
4257: T5_SHOES_LEATHER_HELL@3                                          : T5.3 Hellion Shoes
4258: T5_SHOES_LEATHER_HELL@4                                          : T5.4 Hellion Shoes
4259: T6_SHOES_LEATHER_HELL                                            : T6.0 Hellion Shoes
4260: T6_SHOES_LEATHER_HELL@1                                          : T6.1 Hellion Shoes
4261: T6_SHOES_LEATHER_HELL@2                                          : T6.2 Hellion Shoes
4262: T6_SHOES_LEATHER_HELL@3                                          : T6.3 Hellion Shoes
4263: T6_SHOES_LEATHER_HELL@4                                          : T6.4 Hellion Shoes
4264: T7_SHOES_LEATHER_HELL                                            : T7.0 Hellion Shoes
4265: T7_SHOES_LEATHER_HELL@1                                          : T7.1 Hellion Shoes
4266: T7_SHOES_LEATHER_HELL@2                                          : T7.2 Hellion Shoes
4267: T7_SHOES_LEATHER_HELL@3                                          : T7.3 Hellion Shoes
4268: T7_SHOES_LEATHER_HELL@4                                          : T7.4 Hellion Shoes
4269: T8_SHOES_LEATHER_HELL                                            : T8.0 Hellion Shoes
4270: T8_SHOES_LEATHER_HELL@1                                          : T8.1 Hellion Shoes
4271: T8_SHOES_LEATHER_HELL@2                                          : T8.2 Hellion Shoes
4272: T8_SHOES_LEATHER_HELL@3                                          : T8.3 Hellion Shoes
4273: T8_SHOES_LEATHER_HELL@4                                          : T8.4 Hellion Shoes
4274: T4_HEAD_LEATHER_UNDEAD                                           : T4.0 Specter Hood
4275: T4_HEAD_LEATHER_UNDEAD@1                                         : T4.1 Specter Hood
4276: T4_HEAD_LEATHER_UNDEAD@2                                         : T4.2 Specter Hood
4277: T4_HEAD_LEATHER_UNDEAD@3                                         : T4.3 Specter Hood
4278: T4_HEAD_LEATHER_UNDEAD@4                                         : T4.4 Specter Hood
4279: T5_HEAD_LEATHER_UNDEAD                                           : T5.0 Specter Hood
4280: T5_HEAD_LEATHER_UNDEAD@1                                         : T5.1 Specter Hood
4281: T5_HEAD_LEATHER_UNDEAD@2                                         : T5.2 Specter Hood
4282: T5_HEAD_LEATHER_UNDEAD@3                                         : T5.3 Specter Hood
4283: T5_HEAD_LEATHER_UNDEAD@4                                         : T5.4 Specter Hood
4284: T6_HEAD_LEATHER_UNDEAD                                           : T6.0 Specter Hood
4285: T6_HEAD_LEATHER_UNDEAD@1                                         : T6.1 Specter Hood
4286: T6_HEAD_LEATHER_UNDEAD@2                                         : T6.2 Specter Hood
4287: T6_HEAD_LEATHER_UNDEAD@3                                         : T6.3 Specter Hood
4288: T6_HEAD_LEATHER_UNDEAD@4                                         : T6.4 Specter Hood
4289: T7_HEAD_LEATHER_UNDEAD                                           : T7.0 Specter Hood
4290: T7_HEAD_LEATHER_UNDEAD@1                                         : T7.1 Specter Hood
4291: T7_HEAD_LEATHER_UNDEAD@2                                         : T7.2 Specter Hood
4292: T7_HEAD_LEATHER_UNDEAD@3                                         : T7.3 Specter Hood
4293: T7_HEAD_LEATHER_UNDEAD@4                                         : T7.4 Specter Hood
4294: T8_HEAD_LEATHER_UNDEAD                                           : T8.0 Specter Hood
4295: T8_HEAD_LEATHER_UNDEAD@1                                         : T8.1 Specter Hood
4296: T8_HEAD_LEATHER_UNDEAD@2                                         : T8.2 Specter Hood
4297: T8_HEAD_LEATHER_UNDEAD@3                                         : T8.3 Specter Hood
4298: T8_HEAD_LEATHER_UNDEAD@4                                         : T8.4 Specter Hood
4299: T4_ARMOR_LEATHER_UNDEAD                                          : T4.0 Specter Jacket
4300: T4_ARMOR_LEATHER_UNDEAD@1                                        : T4.1 Specter Jacket
4301: T4_ARMOR_LEATHER_UNDEAD@2                                        : T4.2 Specter Jacket
4302: T4_ARMOR_LEATHER_UNDEAD@3                                        : T4.3 Specter Jacket
4303: T4_ARMOR_LEATHER_UNDEAD@4                                        : T4.4 Specter Jacket
4304: T5_ARMOR_LEATHER_UNDEAD                                          : T5.0 Specter Jacket
4305: T5_ARMOR_LEATHER_UNDEAD@1                                        : T5.1 Specter Jacket
4306: T5_ARMOR_LEATHER_UNDEAD@2                                        : T5.2 Specter Jacket
4307: T5_ARMOR_LEATHER_UNDEAD@3                                        : T5.3 Specter Jacket
4308: T5_ARMOR_LEATHER_UNDEAD@4                                        : T5.4 Specter Jacket
4309: T6_ARMOR_LEATHER_UNDEAD                                          : T6.0 Specter Jacket
4310: T6_ARMOR_LEATHER_UNDEAD@1                                        : T6.1 Specter Jacket
4311: T6_ARMOR_LEATHER_UNDEAD@2                                        : T6.2 Specter Jacket
4312: T6_ARMOR_LEATHER_UNDEAD@3                                        : T6.3 Specter Jacket
4313: T6_ARMOR_LEATHER_UNDEAD@4                                        : T6.4 Specter Jacket
4314: T7_ARMOR_LEATHER_UNDEAD                                          : T7.0 Specter Jacket
4315: T7_ARMOR_LEATHER_UNDEAD@1                                        : T7.1 Specter Jacket
4316: T7_ARMOR_LEATHER_UNDEAD@2                                        : T7.2 Specter Jacket
4317: T7_ARMOR_LEATHER_UNDEAD@3                                        : T7.3 Specter Jacket
4318: T7_ARMOR_LEATHER_UNDEAD@4                                        : T7.4 Specter Jacket
4319: T8_ARMOR_LEATHER_UNDEAD                                          : T8.0 Specter Jacket
4320: T8_ARMOR_LEATHER_UNDEAD@1                                        : T8.1 Specter Jacket
4321: T8_ARMOR_LEATHER_UNDEAD@2                                        : T8.2 Specter Jacket
4322: T8_ARMOR_LEATHER_UNDEAD@3                                        : T8.3 Specter Jacket
4323: T8_ARMOR_LEATHER_UNDEAD@4                                        : T8.4 Specter Jacket
4324: T4_SHOES_LEATHER_UNDEAD                                          : T4.0 Specter Shoes
4325: T4_SHOES_LEATHER_UNDEAD@1                                        : T4.1 Specter Shoes
4326: T4_SHOES_LEATHER_UNDEAD@2                                        : T4.2 Specter Shoes
4327: T4_SHOES_LEATHER_UNDEAD@3                                        : T4.3 Specter Shoes
4328: T4_SHOES_LEATHER_UNDEAD@4                                        : T4.4 Specter Shoes
4329: T5_SHOES_LEATHER_UNDEAD                                          : T5.0 Specter Shoes
4330: T5_SHOES_LEATHER_UNDEAD@1                                        : T5.1 Specter Shoes
4331: T5_SHOES_LEATHER_UNDEAD@2                                        : T5.2 Specter Shoes
4332: T5_SHOES_LEATHER_UNDEAD@3                                        : T5.3 Specter Shoes
4333: T5_SHOES_LEATHER_UNDEAD@4                                        : T5.4 Specter Shoes
4334: T6_SHOES_LEATHER_UNDEAD                                          : T6.0 Specter Shoes
4335: T6_SHOES_LEATHER_UNDEAD@1                                        : T6.1 Specter Shoes
4336: T6_SHOES_LEATHER_UNDEAD@2                                        : T6.2 Specter Shoes
4337: T6_SHOES_LEATHER_UNDEAD@3                                        : T6.3 Specter Shoes
4338: T6_SHOES_LEATHER_UNDEAD@4                                        : T6.4 Specter Shoes
4339: T7_SHOES_LEATHER_UNDEAD                                          : T7.0 Specter Shoes
4340: T7_SHOES_LEATHER_UNDEAD@1                                        : T7.1 Specter Shoes
4341: T7_SHOES_LEATHER_UNDEAD@2                                        : T7.2 Specter Shoes
4342: T7_SHOES_LEATHER_UNDEAD@3                                        : T7.3 Specter Shoes
4343: T7_SHOES_LEATHER_UNDEAD@4                                        : T7.4 Specter Shoes
4344: T8_SHOES_LEATHER_UNDEAD                                          : T8.0 Specter Shoes
4345: T8_SHOES_LEATHER_UNDEAD@1                                        : T8.1 Specter Shoes
4346: T8_SHOES_LEATHER_UNDEAD@2                                        : T8.2 Specter Shoes
4347: T8_SHOES_LEATHER_UNDEAD@3                                        : T8.3 Specter Shoes
4348: T8_SHOES_LEATHER_UNDEAD@4                                        : T8.4 Specter Shoes
4349: T4_HEAD_LEATHER_FEY                                              : T4.0 Mistwalker Hood
4350: T4_HEAD_LEATHER_FEY@1                                            : T4.1 Mistwalker Hood
4351: T4_HEAD_LEATHER_FEY@2                                            : T4.2 Mistwalker Hood
4352: T4_HEAD_LEATHER_FEY@3                                            : T4.3 Mistwalker Hood
4353: T4_HEAD_LEATHER_FEY@4                                            : T4.4 Mistwalker Hood
4354: T5_HEAD_LEATHER_FEY                                              : T5.0 Mistwalker Hood
4355: T5_HEAD_LEATHER_FEY@1                                            : T5.1 Mistwalker Hood
4356: T5_HEAD_LEATHER_FEY@2                                            : T5.2 Mistwalker Hood
4357: T5_HEAD_LEATHER_FEY@3                                            : T5.3 Mistwalker Hood
4358: T5_HEAD_LEATHER_FEY@4                                            : T5.4 Mistwalker Hood
